id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
752202,5.288267030694535,Apartment,Private room,{},2,1.0,Real Bed,flexible,False,NYC,Good area respect neighbor good for business person ,,f,f,,2013-12-24,f,,40.826796244761795,-73.90507111955662,Quiet and comfortable room spacious,Morrisania,0,,https://a0.muscache.com/im/pictures/29692352/2046f89a_original.jpg?aki_policy=small,10456,1.0,1.0
18414121,4.174387269895637,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1.0,Real Bed,moderate,False,NYC,"Modern Room with Queen sized tempurpedic cloud mattress on the Upper West Side. Steps away from the 1 train. Walking distance to Central Park and Riverside Park. Beautiful common space with full kitchen, washer, dryer, and 55 inch TV. A modern but cozy room on the UWS. Apartment decorated with contemporary abstract art. Best matress you have ever slept on. A full closet with hanging space and dresser. The common space has a large kitchen with washer/dryer. The location is unbeatable. My room, AC/Heating, alarm clock, closet with hanging space, dresser, washer/dryer, full kitchen, living room with 55 inch TV, XBox 1, free WiFi, full bathroom with shower speakers.  I will be away but my two amazing roommates will be there to assist you with anything you need, assist you with navigating NYC, and make recommendations about sight seeing and great restaurants in the area and all over NYC. It has EVERYTHING! Restaurants, cafes, bars, lounges, excellent supermarkets, convenience stores all wit",2015-03-05,t,t,,2014-12-29,f,2017-05-20,40.802927599258396,-73.96611104981756,Room on the Upper West Side,Upper West Side,31,93.0,https://a0.muscache.com/im/pictures/63083753/b52265ae_original.jpg?aki_policy=small,10025,1.0,1.0
14444988,4.605170185988092,House,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,1.5,Real Bed,strict,True,LA,"Spanish Home in central location in La Tjera Village next to Culver City. Located in a tree-lined quiet street and close to the new Inglewood Stadium development, 15 mins from Venice Beach, 10 from Marina del Rey; 15 from downtown. House has a big backyard with BBQ and Hot Tub. One full bathroom plus a half bathroom. Fully equipped kitchen, laundry/dryer. No TV, but projector and big screen installed in the living room, you can connect your laptop to it. Split King bed, Full size bed, couch. Owner lives in detached guest house but is mostly out of  town.",2017-01-01,t,t,100%,2011-12-01,f,2017-01-14,33.979676689477856,-118.36091619786892,"Charming, artsy house in quiet and safe street",Inglewood,2,80.0,https://a0.muscache.com/im/pictures/ab63333a-58d2-4b33-9716-41028b9c1cf0.jpg?aki_policy=small,90302,2.0,2.0
20352832,5.0369526024136295,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Iron}",6,1.5,Real Bed,moderate,True,LA,"Beautiful, spacious craftsman home with mountain views. All the charm of a 1910 home with all the modern updates. Large kitchen, laundry, wifi, and free parking. Walkable to Old Town Monrovia where you'll find restaurants, bars, shops and more. Private house that sleeps six. Two bedrooms upstairs plus sleeper sofa (opens to bed) in living room. Bedroom 1 = queen bed; bedroom 2 = full bed. Large, fully stocked kitchen.  One full bath with shower and claw foot tub - great for a long soak with bubbles - and two half baths. Peaceful fenced-in backyard with seating area and waterfall that add to the tranquil setting. Don't miss out on this retreat oasis. Please note: An old cat named Milo would be your house mate. All access Monrovia is a charming town with lots of restaurants and shops, plus a large movie theater. Also within a 10 min walk is a grocery store, nail/hair salon, dry cleaners and other services.  Monrovia Canyon Park is a only short drive into the hills and features hiking tra",2016-03-30,t,t,100%,2015-06-29,f,2017-02-19,34.14935969381652,-117.9960514067732,Historic Craftsman-sleeps 6,Monrovia,19,98.0,https://a0.muscache.com/im/pictures/062b99a6-58f7-4ce9-bff3-91904de61ba7.jpg?aki_policy=small,91016,2.0,3.0
15983858,4.59511985013459,Apartment,Entire home/apt,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,1.0,Real Bed,strict,True,NYC,"Cozy and charming one bedroom apartment in the heart of Astoria, 5 min to subway and restaurant. A third floor on a walk up, equipped with all the essentials for your stay. The apartment its equipped with one Queen size bed and a Full size sofa bed.",2015-12-15,t,t,100%,2015-11-18,f,2017-09-03,40.763775721120254,-73.92268833152765,ASTORIA!! ONE BEDROOM APARTMENT,Astoria,45,89.0,https://a0.muscache.com/im/pictures/455d438b-9abd-4d2b-a26d-92e39d4bab69.jpg?aki_policy=small,11106,1.0,2.0
8398955,4.248495242049359,Apartment,Entire home/apt,"{""Air conditioning"",Kitchen,""Elevator in building"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials}",2,1.0,Real Bed,flexible,True,LA,"Bright, spacious studio near Franklin Village. Natural light, hardwood floors. Steps from Griffith Park, subway, cafes, supermarket, restaurants, health food/juice bars, UCB theater. Downtown H'wood (Walk of Fame, nightlife, food, shops) 1 mile away. Just wanted to stress again that this place is incredibly well-located. Griffith Park is a 7-minute walk in one direction, with tons of hikes and picnic spots and natural beauty. In the other direction is Franklin Village, which has nightlife and comedy and food and drinks and groceries and cafes. You're also right by Thai Town which has tons of great restaurants and nightlife. And it's exactly one mile away from Hollywood and Vine, which is where all the downtown Hollywood attractions begin. The Metro Red Line is less than a half-mile walk away, and it will take you downtown to lots of nightlife and INCREDIBLE food. The place is also right near the 101 freeway for access to Malibu or general getting around by car. While there's no wifi in",2014-08-11,t,t,,2014-07-31,f,2014-08-25,34.10497639768061,-118.3131019092217,Affordable! Convenient! Hollywood!,Hollywood,2,100.0,,90028,0.0,1.0
19057230,5.272999558563747,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Laptop friendly workspace""}",2,1.0,Real Bed,flexible,True,NYC,I would love to host someone in a really awesome studio in a luxury elevator building in New York City! The apartment has a queen pillow top bed and beautiful bathroom! Just a quick walk to Time Square!! Area is full of restaurants/night life!,,f,f,,2014-07-09,f,,40.75843452022573,-73.96264907261643,COOL STUDIO IN THE HEART OF MIDTOWN,Midtown East,0,,https://a0.muscache.com/im/pictures/e9dc372f-848e-49bb-9a2f-f36a8f15390c.jpg?aki_policy=small,10022,0.0,1.0
16332242,3.58351893845611,Condominium,Private room,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,flexible,False,LA,"My place is close to Denny's, , CVS Pharmacy - Photo.  It's also close to the 405 freeway and only 15 minutes away from Hollywood and 10 minutes away from Universal Studios.. You’ll love my place because of the Location.  It's very centric 15 to 25 minutes away from most popular tourist attractions and beaches.  Its cozy but spacious.. My place is good for couples, solo adventurers, and business travelers.",2017-02-19,t,f,100%,2016-10-26,t,2017-04-30,34.20205424421615,-118.45946551737673,Private bedroom in large condo.,Van Nuys,21,89.0,https://a0.muscache.com/im/pictures/76dd418f-2870-46a1-91cc-c5ad9fb009ac.jpg?aki_policy=small,91405,1.0,1.0
2230982,4.248495242049359,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Elevator,Heating,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.5,Real Bed,strict,True,NYC,"It is one of the rooms in 4bedroom apartment . It's located on the Roosevelt Island which is surrounded by the rivers.  Tranquil environment, 5min walk to subway station, I stop from Manhattan. Very convenient location to access famous tourist spots in New York City.  One can get the amazing Manhattan view while won't  feel bothered by the hustling buzzling noises of the city. The guest live in a separate spacious room with a walk-in closet, feel free to use the kitchen and living room. Close to Manhattan, quiet and cozy, riverside You will have access to a private bedroom, a private closet and shared 1.5 bathroom, a shared kitchen and living room. It's a family friendly community with free bus going around the island. Nice view of Manhattan. Subway, tram",2016-07-21,t,t,,2015-06-08,f,2017-03-25,40.76107682756611,-73.95058143550315,Spacious private bedroom 1 stop to Manhattan,Roosevelt Island,5,76.0,https://a0.muscache.com/im/pictures/7098f3ed-8777-41b0-9bc1-030e5005d69b.jpg?aki_policy=small,10044,1.0,1.0
1483688,4.736198448394496,Apartment,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Self Check-In"",""Smart lock"",Keypad,Lockbox,""Private entrance""}",4,1.0,Real Bed,strict,True,NYC,"Private apartment with seperate entrance in the heart of Brooklyn. Located in Crown Heights one block from the 3 train (30 minutes to manhattan) on beautiful tree lined Eastern Parkway (the first Parkway in the United States). Walking distance from Brower Park, Prospect Park, Brooklyn Botanical Gardens and the Childrens / Brooklyn Museums. Restaurants/bars, coffee shops, and supermarkets only steps away.  Crown Heights is a quiet neighborhood that boasts a unique mix of New York cultures. Seperate and entire apartment with private entrace. Kitchen is stocked with supplies to make coffee and all the cookware and utensils needed to prepare meals. Bathroom comes with clean towels, shampoo, conditioner, and soap. The 3 Kingston Ave. train station is a block away ( 0.2miles / 3 min. walk)",2017-07-25,t,t,100%,2016-06-01,f,2017-09-21,40.66911656306719,-73.94337011058576,Newly Renovated/Private Apt/1-br by Park and Metro,Crown Heights,11,93.0,https://a0.muscache.com/im/pictures/47a6b7dd-027e-4dfd-84e4-a9fc41e4457f.jpg?aki_policy=small,11213.0,1.0,3.0
